medium_threshold,high_threshold,f1_macro
32.5,50.0,0.5919028138404202
34.0,53.0,0.5916268498186117
34.0,54.0,0.5910534402644739
25.0,58.0,0.5907557671621263
33.5,55.5,0.5903007893052692
31.0,60.0,0.5902917326850462
33.5,51.0,0.5896451855824828
26.0,59.0,0.5895693728511748
31.5,59.0,0.589493078978229
34.0,52.0,0.5894689303247428
34.0,53.5,0.5890439219106064
26.5,59.5,0.5888272447072814
33.5,56.0,0.5883046258155065
33.0,57.0,0.5881668889240097
34.0,55.0,0.5881177946177646
32.5,58.0,0.5878852557947708
33.0,50.5,0.5877837776686747
34.0,54.5,0.5877795196339246
25.0,58.5,0.5877081315624911
25.5,59.0,0.5875786725937263
32.0,59.0,0.5875543219419265
33.0,57.5,0.5868529333618818
34.0,51.5,0.586682324828573
26.5,60.0,0.5861051459443779
26.0,59.5,0.5857367649942838
31.5,59.5,0.5857000227503487
33.0,50.0,0.5851888155551813
32.5,58.5,0.5850233742099648
34.0,55.5,0.5845074889637689
33.5,56.5,0.5842733920150615
32.0,59.5,0.5837666984357784
25.5,59.5,0.583745088731064
34.0,51.0,0.5835166052038375
34.5,52.5,0.5833775410382798
25.0,59.0,0.5833454125456242
31.5,60.0,0.5832018885631185
26.0,60.0,0.5830081586873502
34.0,56.0,0.5825123832738046
34.5,53.0,0.5823826156643493
33.0,58.0,0.5820061147474611
34.5,54.0,0.5818705358736151
32.0,60.0,0.5812905925210198
25.5,60.0,0.581003338282143
32.5,59.0,0.5805926438059964
34.5,52.0,0.5801024486669154
34.5,53.5,0.5798254420476643
33.5,57.0,0.5797068870308019
25.0,59.5,0.5795131307108191
33.0,58.5,0.5791720057193778
34.5,55.0,0.5789953971793756
33.5,50.5,0.5786998587533168
34.5,54.5,0.578654087416974
34.0,56.5,0.578483272402302
33.5,57.5,0.5784079442467449
34.5,51.5,0.5772621797667242
32.5,59.5,0.5768188540342447
25.0,60.0,0.5767655742668971
35.0,52.5,0.5766155459785701
33.5,50.0,0.5759529070888398
35.0,53.0,0.5756349892909106
34.5,55.5,0.5753941977040973
35.0,54.0,0.5751676823945476
33.0,59.0,0.574741922813128
32.5,60.0,0.5743801220775988
34.0,57.0,0.5739428565277778
34.5,51.0,0.5739115424324935
33.5,58.0,0.5735936594202631
34.5,56.0,0.5734021279822806
35.0,52.0,0.5732638578830859
35.0,53.5,0.5730962507865681
34.0,57.5,0.5726563489614879
34.0,50.5,0.572391915760341
35.0,55.0,0.5723366872461281
35.0,54.5,0.5719933854533754
33.0,59.5,0.5709822414032784
33.5,58.5,0.5707891618240716
35.0,51.5,0.5703836703131122
34.0,50.0,0.5695075947077216
34.5,56.5,0.5693790898402715
35.0,55.5,0.5687414675169559
33.0,60.0,0.5685842237026808
34.0,58.0,0.5678677983593592
35.0,51.0,0.5668955312995955
35.0,56.0,0.5667513922291376
33.5,59.0,0.5663643727531845
34.0,58.5,0.5650877980110972
34.5,57.0,0.5648793385401513
34.5,57.5,0.563611531712434
35.0,56.5,0.5627323446741663
33.5,59.5,0.5626220211625393
34.5,50.5,0.5625394190142391
34.0,59.0,0.5606650078610641
33.5,60.0,0.5602651383461056
34.5,50.0,0.5594605395306652
34.5,58.0,0.558863102914107
35.0,57.0,0.5582621692389216
35.0,57.5,0.5570080654657739
34.0,59.5,0.5569358036357098
34.5,58.5,0.5561199475063888
35.0,50.5,0.5553376911981306
34.0,60.0,0.5546140963579572
35.0,58.0,0.5522887984905377
35.0,50.0,0.5521134249470768
34.5,59.0,0.5517029753871859
35.0,58.5,0.5495726232884449
34.5,59.5,0.5479949398274512
34.5,60.0,0.545724738523779
35.0,59.0,0.5451594545468936
35.0,59.5,0.5414666876748272
35.0,60.0,0.5392344033223367
